Country,Lat,Long,TotalDeaths,,,,,,,,
Sudan,15.7,29.5,3104,,,,,,,,
Sweden,66.2,19.0,5,,,,,,,,
Switzerland,46.8,8.0,14,,,,,,,,
Syria,35.3,38.3,9871,,,,,,,,
Taiwan,23.6,120.8,2,,,,,,,,
Tajikistan,38.4,72.6,40,,,,,,,,
Tanzania,-5.7,34.1,48,,,,,,,,
Thailand,15.7,100.8,2174,,,,,,,,
Togo,7.7,1.1,0,,,,,,,,
Trinidad and Tobago,10.4,-61.3,0,,,,,,,,
Tunisia,35.6,9.4,222,,,,,,,,
Turkey,39.1,34.2,1184,,,,,,,,
Uganda,1.9,32.7,1228,,,,,,,,
Ukraine,49.4,32.1,2165,,,,,,,,
United Arab Emirates,23.9,53.9,1,,,,,,,,
United Kingdom,52.3,-1.3,91,,,,,,,,
United States,40.1,-98.8,3147,,,,,,,,
Uruguay,-32.9,-56.2,0,,,,,,,,
Uzbekistan,41.8,64.0,49,,,,,,,,
Venezuela,7.0,-64.6,14,,,,,,,,
Vietnam,21.8,105.4,0,,,,,,,,
Western Sahara,24.5,-13.6,0,,,,,,,,
Yemen,15.6,47.8,6425,,,,,,,,
Zambia,-15.1,25.3,0,,,,,,,,
Zimbabwe,-19.1,30.0,18,,,,,,,,
