Country,Population,Continent,CountofAttacks,TotalDeaths,,,
Yemen,29825968,Asia,2489,6425,,,
Zambia,18383956,Africa,9,0,,,
Zimbabwe,14862927,Africa,26,18,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
